Name,Complete Challenge,Challenge,Country,Type
"Robert Allen Jr,", concerns around water wars,water wars,Laos,Private
"Robert Allen Jr,", issues of national sovereignty,national sovereignty,Laos,Private
"Robert Allen Jr,",Industrial development,Industrial development,Laos,Private
"Robert Allen Jr,",pollution,pollution,Laos,Private
"Robert Allen Jr,",housing development,housing development,Laos,Private
"Dr Laurent Umans,", variety of technical challenges,technical challenges,Hanoi,Int Dev
"Dr Laurent Umans,", relations between policies,policies,Laos,Int Dev
"Dr Laurent Umans,", quality of growth,growth,Laos,Int Dev
"Dr Laurent Umans,",climate change,climate change,China,Int Dev
"Anders Imboden,", rule of law,law,Hanoi,Int Dev
"Messrs. Hisaya Hirose and Takahiro Suenaga,", rule of law,law,Hanoi,Int Dev
"Messrs. Hisaya Hirose and Takahiro Suenaga,", respect for human rights,human rights,Laos,Int Dev
"Messrs. Hisaya Hirose and Takahiro Suenaga,",pollution,pollution,Laos,Int Dev
"Dr. John Dore (Bangkok),", set of sustainable development issues,sustainable development issues,Hanoi,Int Dev
"Dr. John Dore (Bangkok),", pandemic on countries,countries,Laos,Int Dev
"Dr. John Dore (Bangkok),", impact of pandemic,pandemic,Laos,Int Dev
"Dr. John Dore (Bangkok),", impacts to economy,economy,China,Int Dev
"Dr. John Dore (Bangkok),", relations between countries,countries,Thailand,Int Dev
"Dr Zhong Yong,", right to economic development,economic development,Hanoi,Int Dev
"Dr Zhong Yong,", issues in sustainable development,sustainable development,Laos,Int Dev
"Dr Zhong Yong,",climate change,climate change,Laos,Int Dev
"Dr Zhong Yong,",economic development,economic development,China,Int Dev
"Mr TEK Vannara,", rules for international banks,international banks,Hanoi,Int Dev
"Mr TEK Vannara,",forest,forest,Laos,Int Dev
"Drs Sonali Sellamuttu,", impacts of use change,use change,Hanoi,Int Dev
"Drs Sonali Sellamuttu,", understanding of drought,drought,Laos,Int Dev
"Drs Sonali Sellamuttu,",drought,drought,Laos,Int Dev
"Aymeric Roussel,", concern for Cambodia,Cambodia,Hanoi,Int Dev
"Dr An Pich Hatda (CEO),", terms of data sharing,data sharing,Hanoi,Int Dev
"Dr An Pich Hatda (CEO),",fisheries,fisheries,Laos,Int Dev
"Dr An Pich Hatda (CEO),",data sharing,data sharing,Laos,Int Dev
"Assist. Prof. Kanokwan Monorom,", relations between downstream countries,downstream countries,Hanoi,Int Dev
"Jake Brunner,", quality of growth,growth,Hanoi,Int Dev
